,title,brand,price,rating,reviewCount,description,categories
0,Men's Premium Cotton Multicolor Polo T-Shirt,ADRO,499,New to Amazon,,,Mens-wear
1,Men's Polo T-Shirt Regular Fit Polycotton Half Sleeve with Pocket Combo Pack of 2,SMAN,599,3.6,111,"Made with a wide range of Polo T-Shirt From SMAN. with Pocket and the collar which makes it smarter, this every day goes to product is super comfortable and classy. Moisture Management for better breathability, anti-pilling, anti-static properties. you could Wear it with Pair of jeans, trousers, etc. Made in India.",Mens-wear
2,Men's Solid Regular Fit Half Sleeve Cotton Polo T-Shirt,Urbano Plus,699,3.8,512,"Make heads turn in this unique & stylish Urbano Plus men's 100% Cotton Black Plus Size Polo T-Shirt with two buttoned front placket, which brings the latest trend for the fashion conscious. The in-vogue & fashionable buttoned placket design & contrast striped polo collar, soft & premium 100% pure cotton fabric with bio-wash, regular fit & regular hem make it a wardrobe must-have. Pair this uber-cool and comfortable half sleeve polo t-shirt with any Urbano Plus jeans or chinos for the perfect casual, office, or party wear look, and never go out of style! Urbano Plus - your go-to stylish and comfortable Plus size brand from Urbano Fashion.",Mens-wear
3,Mens Cotton Half Sleeve Branded Polo T Shirt with Collar,fanideaz,664,3.7,414,,Mens-wear
4,Men T-Shirt (N704MN3_$1P_Pack of 3),SHAUN,509,3.6,"1,479",SHAUN is a well-known brand for clothing in India. These trendy & dashing T-Shirts from the house of Weboasis Garments Private Limited will make you feel comfortable & stylish. Team it with a Track Pant & Casual Shoes or Sneakers for a Casual yet stylish look. Our every piece is a master piece.,Mens-wear
5,Men's Regular Fit T-Shirt,Red Tape,499,3.7,39,"You will look back to this elegant yet casual t-shirt for its rich blue colour and melange texture. Ideal for the hottest summer days, the tee is a great buy, tailored with short sleeves and breathable properties.",Mens-wear
6,Men's Slim Fit T-Shirt,Reebok,359,3.8,55,"Reebok designs, manufactures, distributes and sells fitness, running and crossfit sportswear including clothing and footwear. The clothing line includes t-shirts, hoodies, jackets and pants among other items. Short sleeve t-shirt which is comfortable in wearing along with knit fabric pattern, crew neck",Mens-wear
7,Trendy Front & Back Printed Full Sleeve Tshirt for Men -Combo Pack of 2,BULLMER,788,4.4,3,Bullmer premium quality Knitted cotton t-shirt makes you feel more easier and comfort,Mens-wear
8,Men's Round Collar Football Jersey Multicolored INK1900,Inkholic,399,4.1,131,,Mens-wear
9,Men's Slim T-Shirt (ETS-5024_Blood RED L),Easies by Killer,249,5.0,1,"One of the four iconic brands “Easies” is definitely for someone with a unique sense of style and a refreshing new outlook towards life. A classic range of apparel for the modern, uber-cool man, Easies is known for redefining fashion in India, the coolest possible way. With fresh colours, trendy cuts and patterns, here’s where you will find the perfect blend of style and comfort, like nowhere else. When it comes to , we choose form the most premium range of fabric and linen to design garments keeping in mind the latest global trends from the world of men’s fashion.",Mens-wear
10,"Men's Printed 100% Cotton T-Shirt - Regular Fit, Round Neck, Half Sleeves",Bewakoof,320,4.5,2,This Wander Geometry Men's T-shirt belongs in your travel trunk. Pair this black t-shirt with ripped jeans and loafers for a funky look.,Mens-wear
11,Cherokee Men's Printed Regular fit T-Shirt (282398407_Charcl-Mel M),Cherokee by Unlimited,149,3.6,16,"Timeless classics inspired by vintage Americana, but always interpreted with a modern Cherokee handwriting. Across four decades, Cherokee has always stood for confident, effortless and relaxed American style. Something we call “American Cool”. Cherokee is an iconic American family lifestyle brand, offering classic, casual comfort at great value.",Mens-wear
12,Unisex Tokyo Revengers Anime Tokyo Manji Uniform Printed Full Sleeve Round Neck T-Shirt,ComicSense.xyz,699,4.3,339,"Shop a wide range of Anime t-shirts from us. Perfect for your everyday use you can pair it with a stylish pair of jeans or trousers to complete the look. Cotton fabric, stylish print, and comfortable fit. That's all that is needed for a perfect t shirt Shop from us a wide range of T-shirts. Perfect for your everyday use you can pair it with a stylish pair of jeans or trousers to complete the look.",Mens-wear
13,Ronaldo Third Jersey Fullsleeve with Shorts,Generic,455,3.4,10,"Lightweight and soft, the polyester T-shirt will wick moisture away from your skin as you start to perspire. Furthermore, it boasts quick-drying properties to keep you cool and comfortable throughout the entire day.",Mens-wear
