,title,brand,price,rating,reviewCount,description,categories
0,Pack Of 4 Polos,Baremoda,999,3.6,799,This Polo T-Shirt is made to Bring out the Style in You. This Highly Comfortable Stylish Polo Can Be Worn For Just Any Occasion. A Casual Day at Work or For A Weekend Full Of Fun This Polo Has It All. This solid polo t-shirt is all about striking the right balance between new age and the tried and tested from its polo collar and button placket to short sleeves with a ribbed hem band. This T-Shirt is comfortable enough and made of a soft hand-feel material.,Mens-wear
1,Dry Fit Batman Regular Fit T-Shirt for Men | Half Sleeve | Round Neck | Plain | Stylish | Combed Bio-Washed 100%,WISHRY,249,5.0,2,"Our T-Shirts are designed with comfort and style in mind, making them perfect for all genders. Made with quality materials, these T-Shirts are soft, breathable, and durable. With a classic cut and a variety of colors to choose from, you can find the perfect T-Shirt for any occasion.",Mens-wear
2,Sport Men's Printed Regular T-Shirt (VSKCURGFV93043_Grey L),Van Heusen,519,1.0,1,Look suave and stylish Crew Neck T-shirt from Van Heusen.,Mens-wear
3,Henley Neck Cotton Blend,RIENER,499,No reviews,,"This RIENER regular formal shirt shirts for men has double vents at the back with a flat collar crafted with a sharp cut and. Featuring a solid pattern and slim fit, this formal sirt, made from lightweight pure cotton fabric shirt for men formal pure cotton shirts is perfect for layering and delivering a formal look for shadi mens shirts. It has a casual party shirt for man construction man shirts and one functional pocket at the front perfect shirt for men stylish latest. About us: dressing men since 1991 shirt for men's party RIENER is a men's known for exceptional craftsmanship and contemporary tailoring shirt for man party wear formal were and also casual were. The passion for fit and structure sets the brand apart making formal for men business meeting wear. This perfect shirt for men stylish / men shirts stylish party wear / shirt for men casual for party wear is everything a man require in coat for a stylish wedding attire. Latest Todays deal in amazon for sirt for men. shirt paint party wear black grey t shirt stylish wedding bandhgala set sute men's shirt for men's formal deals in shirt pant man Mens 2 piece suit shirt pant , shirt jacket kot pant suits for men .Three piece suits for men pent coat , suit for men three piece suit kot pant for men coat pant for man coat pant piece pent coat 3 piece suit for men bandhgala flat formal shirt are some common names of this kind of mens shirts. fabric is good quality or equivalent unique styles formal shirts . Marriage shadi dark shirt over cout shirt bhusat summer kamij polo-shirt.Printed full sleeves shirt for men stylish wedding shirt blazer of man is overall the best clothing for a man, It can also be worn in court by advocates.",Mens-wear
4,Regular Fit T-shirt,Colt by Unlimited,379,No reviews,,"In a versatile hue, this cool t-shirt will slot effortlessly into your weekend roster. Cut from soft fabric in a relaxed fit, it's complete with a ribbed crew neck and short sleeves. Wear yours with everything from shorts to jeans to pull-together a relaxed ensemble.",Mens-wear
5,Dryfit T-shirts,AWG ALL WEATHER GEAR,596,3.4,870,,Mens-wear
6,Jujutsu Kaisen Ryomen Sukuna Satoru Gojo Anime Graphic Printed Crew Neck Cotton T-Shirt Best Anime Fan Gift for Men Women Manga tees,fcbysree,786,New to Amazon,,,Mens-wear
7,Men T-Shirt,Tommy Hilfiger,"2,199",New to Amazon,,WCC DOUBLE FLAG GRAPHIC TEE,Mens-wear
8,Men Half Sleeve Regular Fit Polo T Shirt,UrbanMark,599,No reviews,,,Mens-wear
9,Men T-Shirt,Max,299,4.5,2,MAX Solid Tee,Mens-wear
10,Glow In Dark Cotton T-shirt,Generic,425,3.5,5,"Cotton bio-washed t-shirt with printed avenger logo, the logo will glow in the dark when printing area will get touch with light. best quality fabric, smooth material",Mens-wear
11,Regular Fit Polo Shirt,STELLERS,814,4.4,3,"There is nothing as classy as Stellers Golf Polos, Tailored with Nano-dry wrinkle free soft performance fabric gives feather touch feel which keeps you stay comfortable no matter the occasion. These Polos are tailored for a man who loves to look Smart & Stylish, Pair with denims or cotton formal trousers along with sneakers or loafers.",Mens-wear
12,Eco Friendly Polo Neck Shirt,QUEMICTION,599,3.9,52,,Mens-wear
13,Men Tshirts,Pepe Jeans,"1,439",4.1,34,Pepe Jeans Men's Solid Regular T-Shirt,Mens-wear
14,Nerd Science Regular Fit,Aaramkhor,599,3.7,18,"Busy on a Molecular Level .Our designs are not the usual pop culture trends, but our own twisty interpretation of trending themes.",Mens-wear
15,100% Cotton Drop T-shirt,The Souled Store,734,3.8,422,,Mens-wear
16,Men's Cotton Black/Red Hooded Solid Vest,GRITSTONES,298,3.9,227,"Look absolutely confident wearing this fashionable Vest from the house of Gritstones. With this Casual and sporty vest, you can choose to complete your look with your favourite jeans or trackpants.",Mens-wear
17,Men T-Shirt,Tommy Hilfiger,"1,119",4.0,1,TJM ENTRY FLAG TEE,Mens-wear
18,Polo Neck Shirt,Classic Polo,"1,234",5.0,1,,Mens-wear
19,Solid Cotton Blend T-shirt,TRUE BASKET,349,3.2,7,"WRODSS mens full sleeve T-shirts direct from the manfacturers. By wearing this tshirt it gives a stylish look and great comfort. Fill your wardrobe with beautiful and stylish collections of blive tshirts. Trusted brand online and no compromise on quality. Features:-Care Instructions: Machine Wash & Hand WashFit Type: Regular Fit100% smooth Cotton with Bio WashStretch Fabric to support physical activity like training and gamesContour Fit, Suitable for Summers and Light Winters, Breathable fabricWash with similar colors, dry promptly, steam iron, do not bleach. Gentle machine wash in cool water, tumble dry low, iron inside out, do not bleach, wash with similar colors, use detergent for colors",Mens-wear
20,Slim Fit T-shirt,F GALLERY,374.,3.6,"1,069",,Mens-wear
21,Boys T-Shirt,Puma,779,4.5,63,"PRODUCT STORY : Living proof that eco-friendly fashion can hold its own in the street style stakes, this essential tee is made from 100% recycled fibres for a look that both you and the planet will love. FEATURES & BENEFITS : Recycled Content: Made with at least 20% recycled material as a step toward a better future , dryCELL: PUMA's designation for moisture-wicking properties that help keep you dry and comfortable DETAILS : Regular fit, Ribbed crew neck, PUMA Cat Logo heat transfer at left chest, 100% Recycled polyester",Mens-wear
