,title,brand,price,rating,reviewCount,description,categories
0,Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),LEOTUDE,309,3.7,145,This Women's Oversized T-Shirt from Leotude is completely cool and comfortable and its best for daily use or for college.,Women-western-wear
1,Women Warm Thick Fur Lined Fleece Thermal Soft Legging Winter Slim Fit Tights Stocking,Alexvyan,729,4.3,"2,162","IMPORTED QUALITY THERMAL WOOLEN LEGGING Very Very HOT And 100% Comfertable, These Leggings Have A Smoothly Brushed Fleece Lined Interior, Making These The Softest And Most Comfortable Leggings Around The WORLD, These Are Free Size Legging Madeup Of Poly Wool And Spandex , Has An Excelent Stratchablity, It Can Cover From 26"" to 34"" Size Waist You Can Use These Legging As Inner Leg Warmer And Stockings Also.",Women-western-wear
2,Women's Silk Underskirt (SH02399_White_Free Size),Electomania,"1,099",3.8,"3,572",,Women-western-wear
3,Cotton Racerback Tank Top,Jockey,269,4.3,"9,611",Super combed Cotton rib fabric. Slim fit. Racer back styling. Label free for all day comfort.,Women-western-wear
4,WRAP Around Extended Sleeves Ribbed Tops for Women (Free Size),SIGHTBOMB,388,4.1,118,SIGHTBOMB RIBBED WRAP TOP,Women-western-wear
5,Women's Oversized Cottonblend Half Sleeve T-Shirts (Color: Brown),LEOTUDE,309,3.5,161,,Women-western-wear
6,Women Top,Lymio,399,4.1,"2,824","Fabric : Chiffon DISCLAIMER: The images shown are for representational purposes only. Please note that the colour of the product may slightly vary in comparison to the picture shown on the website due to various reasons which may include different lighting and devices during photo-shoot and also the colour settings and resolution of your own monitor screen. It is also important to note that we thrive to bring you the best, but, there may be a little difference in terms of fabric and colour, Wash Care: The Dry clean is recommended.",Women-western-wear
7,"Western Top for Women - Floral Printed & Split V Neck Short Stand Collar Tee Top for Girls Suitable for Workout, Office, Function, Tracking, Casual Wear (Pack of 1)",GRECIILOOKS,299,3.2,493,"This Women's Dress Shirts with Classic Relaxed Silhouette Style,pleated Stitched A-Line Design Creates a Stylish Swing Flowing Fit That Makes You Look Slimmer While Still Feeling Comfortable.these Short Sleeve Blouse Can Be Worn on Numerous Types of Occasions. Perfect for Business,office,casual,work,party,school,vacation and Daily Wear This Short Sleeve Women Blouse and Top Shows Off a Slimmer Elegant Fashionable Look That Goes Great with Business Attire Such as a Hip-Hugging Skirt,wide-Leg Pants,suit Pants and High Heels.the Basic Sleeve Top Is Cute to Wear for a Simple Casual Look. It's Long Enough to Pair with Jeans, Leggings Shorts or Skirts and You Can Tuck the Front in Jeans.simple but Elegant Top Is Easy to Pair with Shorts,skirts,and Skinny Jeans as As Casual and Chic Looks. Perfect to Layer with Cardigan, Blazer, Jacket or Knitwear.suitable Fo Bump Beach, Work, Office, Daily, Shop, Vacation, Party, Business, Casual.the Short Sleeves Cover Arms Just at Right Place and Not Tight, a Bit Loose Fitting.loose Top to Provide You a Slim Fit Look but Very Comfortable Loose Feeling in Summer.",Women-western-wear
8,"1 Pcs Women's Retro Stretchy Metal Buckle Skinny Adjustable Stylish Design Ladies Waist Belts for Fancy Girls, Women Saree, Western Dress, Long Gown, Traditional Dresses",SATYAM KRAFT,219,4.3,"2,484",,Women-western-wear
9,Heart Neck Extended Sleeves Ribbed Tops for Women,SIGHTBOMB,389,3.8,104,SIGHTBOMB SWEETHEART NECK TOP FS,Women-western-wear
10,"Lycra Saree Shapewear Petticoat for Women, Cotton Blended,Petticoat,Skirts for Women,Shape Wear Dress for Saree",Mehrang,449,4.2,"3,677",,Women-western-wear
11,Women Solid Trousers,KOTTY,399,3.5,94,,Women-western-wear
12,Women's Casual Puff Sleeves V Neck Foral Top,Wedani,179,3.2,44,"Fabric: Crepe DISCLAIMER: The images shown are for representational purposes only. Please note that the colour of the product may slightly vary in comparison to the picture shown on the website due to various reasons which may include different lighting and devices during photo-shoot and also the colour settings and resolution of your own monitor screen. It is also important to note that we thrive to bring you the best, but, there may be a little difference in terms of fabric and colour, Wash Care: The Dry clean is recommended.",Women-western-wear
13,Girls' Ribbed Tank Tops,Aahwan,349,3.7,"1,749","Make a statement with this knit top featuring a Square neckline, sleeveless, and a crop straight closure at the hem. This casual yet chic top would look perfect paired with a denim mini skirt, round sunglasses, and ankle booties.",Women-western-wear
14,Women's Skinny Fit Legging,Lyra,343,4.1,"1,512",,Women-western-wear
15,Sleeveless Knit Tank Top,HSR,447,4.2,726,,Women-western-wear
16,Girls' Ribbed Crop Tank Top,Aahwan,349,4.0,"2,270","Make a statement with this knit top featuring a mock neckline, sleeveless, and a crop straight closure at the hem. This casual yet chic top would look perfect paired with a denim mini skirt, round sunglasses, and ankle booties.",Women-western-wear
17,Sleeveless Printed Top,Madno,372,4.1,"1,032","Brand new top for this summer, beautifully design for this spring season. 80% Rayon & 20% Cotton, comfortable feeling while you wear this top. This designer top is unique and graceful for your personality.",Women-western-wear
18,Women's Shorts,Amazon Brand - Eden & Ivy,325,4.3,"1,333","Get on the fun wagon, with Eden & Ivy sleepwear. Feel the soft comfort of these stylish cotton shorts from Eden & Ivy. It has an elasticated waist band for maximum stretch and cute ruffle details in the hem. Team it up with a cute tee, some popcorn and bare feet, and you're all set for a movie binge session at home!",Women-western-wear
19,Cotton Blend Half Sleeve Oversized Back Printed Women's T-Shirt,LEOTUDE,309,3.7,16,This Women's Oversized Back Printed T-Shirt from Leotude is completely cool and comfortable and its best for daily use or for college.,Women-western-wear
20,Women's Striped Regular Fit Top,Selvia,239,4.3,5,,Women-western-wear
21,Winter Warm Leggings Women Elastic Thermal Legging Pants Fleece Lined Thick Tights,HSR,489,4.8,81,,Women-western-wear
