,title,brand,price,rating,reviewCount,description,categories
0,Men's Premium Cotton Multicolor Polo T-Shirt,ADRO,499,Previous page,,,Mens-wear
1,Regular Fit T-shirt,SelFusion,428,Only 1 left in stock.,,Selfusion men's special crew Tshirt. This Tshirt features a is complete with a print and crushed effect. Reflective logo on the hemline. This style have stunning chest print design,Mens-wear
2,Regular Fit T-shirt,SelFusion,418,Only 1 left in stock.,,"Acid washed Round neck tees are having a major moment in fashion right now, and all the cool kids are wearing this trend. Ready to hop on to the acid washed tee bandwagon? Let this color tee be your choice of style. Providing a universally flattering colour coupled with a trendy effect, this tee will surely keep you ahead of the trend curve and how. Sport it with Black denim shorts to complete the look.",Mens-wear
3,Soft Cotton V-neck Shirt,SelFusion,455,4.0,2,"Get layering with the self fusion V-Neck - this quintessential SF tee is made to be worn with short, Jean and casual pyjama. Crafted from a lightweight premium cotton blend fabric with a super soft hand-feel, it has chest anchor print. Finished with a spacial handcrafted wash technique that's giving unique look to your style.",Mens-wear
4,Cotton Blend Night Suit Co-ord Set for Men with Round Neck Half Sleeve T-Shirt and Short-VJ-MNS-TS-GROUP1,VIMAL JONNEY,699,4.5,6,"VIMAL night suits made from 100% rich combed cotton, giving it a rich look, Skin friendly fabric for comfort. These night suit are crafted from soft and breathable fabric. They are sure to keep you comfortable throughout the day and night.",Mens-wear
5,Regular Fit Polo Shirt,Aspirer,499,4.1,82,,Mens-wear
6,Cotton Mandarin Polo,The Souled Store,944,3.8,26,"Official Licensed Liverpool Football Club Mandarin Polo. The reigning EPL champions are a one-of-a-kind team. Show some love to your favourite team with this cool mandarin polo. Shop for official Liverpool merchandise online in India, available exclusively at The Souled Store.",Mens-wear
7,Slim Fit T-shirts,Spykar,649,3.8,189,"Spykar Slim Fit T-shirts for Men. Established in 1992, Spykar has come a long way and has certainly defined the rules of the fashion arena. From what started as solely a men’s denim brand sold at multi-brand outlets, Spykar has expanded its portfolio to become a one stop shop for casual wear ensemble for both men and women – available pan India across 240 exclusive outlets, 1400+ multi-brand outlets, all key large format stores and e-commerce portals.",Mens-wear
8,Printed Poly Cotton Tee Gift For Dulhan,Designer Unicorn,449,4.7,9,"About Designer Unicorn : Designer Unicorn is a dream started by a young Indian Graphic Designer who likes all things Quirky! We sell Designer Products to make every occasion a joyful experience. ; poly cotton is a high-performance, microfiber, polyester fabric that moves sweat away from the body and to the fabric surface, where it evaporates. As a result, it keeps you dry and comfortable and is a perfect way to keep yourself cool in summers. birthday gifts for him her bff gym lovers women's day gifts best graphic funky funny quotes slogan printed t shirts",Mens-wear
9,Pack Of 4 T-shirt,London Hills,849,3.8,45,"Shop from a wide range of T-Shirt from London Hills. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Mens-wear
10,BUBU DUDU | GOMA Peach | Milk Bear | Plush Panda | Valentine Day | Cute Couple Unisex Cotton Tshirt - Fat/Belly,Generic,309,Previous page,,"Presenting you an exclusive collection of CASUAL tshirts inspired by the love of FASHION from house of Shaurya Enterprises .You will love this quirky cool breathable PolyCOTTON t-shirt In sweaty summers available in all sizes for Family. We make you sure that you will love it. Hurry up!! Celebrate this Season in style! Grab your piece now!! Made from premium PolyCOTTON material which is digitally printed with cool artwork. Proudly designed and manufactured in India. Graphics - T-shirts with CASUAL graphics can make a man look very cool, and like T-shirts with slogans, are great fun to shop for with the variety they offer. This cool FASHION tshirt is sure to stand out no matter where you go. There's no reason to delay adding this t-shirt to your wardrobe. Buy and Support Indian Products.",Mens-wear
