,title,brand,price,rating,reviewCount,description,categories
21,Club Polo Regular Fit Outdoor Sports Wear T-Shirt for Mens and Boys,SHIV-NARESH,849,New to Amazon,,"From court to the streets, stay effortlessly dapper wherever you go! Classic and timeless polo tee in light-weight and breathable knit. Super smart and sporty is this polo T-shirt from SHIV-NARESH . Made from polyester, this regular-fit T-shirt is comfortable to wear with a pair of shorts and sports shoes.",Mens-wear
22,Men's Slim Fit T-Shirt,U.S. POLO ASSN.,521.,No reviews,,GLOBAL RETAILS,Mens-wear
23,|Official Spongebob: Like A Boss Mens and Boys T-Shirts|Loose fit Graphic Printed| 80% Cotton 20% Polyester Yellow Color Men Oversized T-Shirts,The Souled Store,944,No reviews,,"Official Licensed SpongeBob SquarePants Oversized T-shirt.Who stays in the pineapple below the sea?Who is the master of the Krabby Patties? Who is Patrick's best friend?Who's our favourite character of the Bikini Bottom?SPONGEBOB! If you love Spongebob as much as we do, buy this Oversized Tie-Dye tee because the best time to wear this is all the time. Straight outta celebrity closets, this t-shirt is here to amp your style game while giving you comfort like no other.Shop official Spongebob merchandise only at The Souled Store.",Mens-wear
24,Round Neck Stray Kids Straykids Quote Printed Tshirt (Printed T Shirt),Truebiz,599,3.7,8,,Mens-wear
25,Men's Striped Regular Fit Polo,U.S. POLO ASSN.,559,3.9,237,"A playful mix of contrasting stripes adds a cool flair to this polo by U.S. Polo Assn. Cut in a slim fit from soft cotton pique, it sports a ribbed collar and sleeve hems. Wear yours with linen shorts at the weekend.",Mens-wear
26,Oversized T-Shirt Cute Astronaut On Asteroid Men's Women's Unisex 100% Cotton,Heybroh,899,New to Amazon,,,Mens-wear
27,Men's Regular Fit T-Shirt,Puma,549,4.0,50,"PRODUCT STORY Cool and classic, with bold branding and a comfortable, everyday-ready fit, the Essentials Logo Tee is your go-to sporty staple. FEATURES & BENEFITS BCI: By buying cotton products from PUMA, you’re supporting more sustainable cotton farming through the Better Cotton Initiative. Learn more at DETAILS Regular fitRibbed crew neckPUMA No. 1 Logo at chestCotton and elastane",Mens-wear
28,Men's Slim Fit T-Shirt,Pepe Jeans,698,No reviews,,"Men slim fit cotton Spandex jersey tee with water base print, hd print and soft handle These t-shirt comes in Pack of One.",Mens-wear
29,TOH KAISE HAI AAP Log CARRYMINATI'S T-Shirt for Men and Women (White),kodari,499,4.3,3,"THIS IS A REGULAR FIT HALF SLEEVE T-SHIRT SUITABLE FOR BOTH MEN AND WOMEN, THE FABRIC OF THIS T-SHIRT IS POLYCOTTON, THE PRINT IS PERMANENT BECAUSE OF SUBLIMATION PRINTING METHOD IS USED, TOH KAISE HAI AAP LOG IS STATING LINE OF CARRYMINATI ON HIS EVERY VIDEOS. “image: Freepik.com”. This cover has been designed using resources from Freepik.com",Mens-wear
30,Men's Regular Fit T-Shirt(Pack of 2),SKYBEN,470,3.8,264,"Shop from a wide range of T-Shirt from SKYBEN. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Mens-wear
31,Men's Regular Fit T-Shirt,Amazon Brand - House & Shields,369.,3.0,6,"An Amazon brand, House & Shields Clothing Co. celebrates the passion and spirit of varsity sports culture and its heritage. The brand offers stylish, premium casualwear for men through a wide range of polos, tees, trousers, jackets and more. The products are designed to meet the very best quality benchmarks and are stitched to perfection – giving you impeccable comfort and fit.",Mens-wear
32,"Delhi Graphic Printed T-Shirt for Boys, Men & Women | Delhite Tshirts| City Tshirts |Typography Quote Tshirt|Half Sleeve T Shirt | Cotton Tshirt",T-shirt Truck,499,No reviews,,,Mens-wear
33,Mens Chile Tee T-Shirt,Adidas,"1,329",No reviews,,"Adidas sells a range of clothing items, varying from men's and women's t-shirts, jackets, hoodies, pants and leggings. The adidas brand offers apparel for every sport, every fashion, every style, whether you are an athlete or fashionista.",Mens-wear
34,Unisex-Adult Active Base Layer Shirt,Puma,"1,069",4.1,26,"PRODUCT STORY: As the big game approaches, the feeling gets more real. With great enthusiasm, we wait for the moment of victory, and as we rally behind our team, our love for the game only grows stronger. This one8 tee is the perfect one to sport while you cheer for Virat and team, this much-awaited cricket season.DETAILS Striped tee Round neck Short sleeves Contrast PUMA logo and print at chest one8 label on left sleeve Contrast print at back",Mens-wear
35,Anaqa Moroccan Quarter Sleeve Thobe Jubba for Men,mashroo,"2,000",New to Amazon,,Introducing Anaqa Quarter Sleeve Embroidered Morrocan style Thobe Jubba for Men,Mens-wear
36,Men's Cotton Round Neck Printed Oversized Loose Fit T-Shirt,RodZen,449,New to Amazon,,,Mens-wear
37,Men's Slim T-Shirt,United Colors of Benetton,349,No reviews,,,Mens-wear
38,Men Olive Green Black Cut & Sew Half Sleeve Knitted Shirt,RIGO,519,5.0,2,"Rigo provides the good quality men's Cotton t-shirts which is available in all sizes. This t-shirt will ensure a comfortable fit featuring a Collarless and Half sleeves t-shirt is in lightweight. Make a style statement when you wear this T-Shirt from RIGO. Team it with a pair of jeans or chino trousers with a casual shoes for a Casual look.Product Features: Rigo Tshirt for Men are Stylish and Comfortable for all Seasons. We provide premium quality trendy tees for men to keep you looking stylish at all timesPattern: Printed, Fit Type: Slim Fit, Color: Olive GreenSizes that we are Providing as S, M, L, XL Please Select Size after Checking Size Chart that is available.No Need To Dry Clean : Simply wash with similar colors in cold water and dry on low heat, no need for the costly and inconvenient dry cleaning.Occasion: Casual, Running, Jogging, Sports Activity, Gym, Yoga, Hockey, Badminton, Camping & Hiking, Cycling, Rugby or any Indoor/Outdoor Activity, Party",Mens-wear
39,"Mens Indian Army Printed Tshirt, Special Forces LogoTshirt",KAPTO,480,New to Amazon,,"The Indian Army logo is a symbol of the country's military strength and honor. A T-shirt with the logo printed on it could be a popular item for individuals who are proud of the Indian Army and want to show their support. The T-shirt is likely made of cotton, a comfortable and breathable material.",Mens-wear
40,Men's Slim Fit T-Shirt,U.S. POLO ASSN.,"1,213",4.0,1,"HALF SLEEVE POLO, S",Mens-wear
41,Men's Slim Fit Polo Shirts,Reebok,429,4.2,17,Mens Rbk Performance Polo.,Mens-wear
42,Men T-Shirt,U.S. POLO ASSN.,665,5.0,1,"HALF SLEEVE POLO, XL",Mens-wear
43,Colorblock T Shirt for Mens (Multicolor_D-53),Dagcros,349,3.1,17,,Mens-wear
44,Oversized Loose Baggy Fit Drop Shooulder Half Sleeves Pure Cotton Happy Guy Graphic Printed T-Shirt for Men,Veirdo,399,New to Amazon,,,Mens-wear
