,title,brand,price,rating,reviewCount,description,categories
0,Men Tshirt,Max,319,4.0,2,Max Men's Tshirt,Mens-wear
1,Men's Solid Sports T-Shirt,Max,399,3.4,3,Max Men's Tshirt,Mens-wear
2,Football Jersey Set,Sportyway,649,No reviews,,PSG Paris Saint Germain White Football Jersey Set T-shirt And Shorts,Mens-wear
3,Khopche Light Weight Baby Gym Shirt,khopche,249,2.9,3,,Mens-wear
4,Breaking Bad T-shirt,Trendtones,599,No reviews,,"Trendtones apparel makes you a prefect Man. Get ready for your next season. Get your hands on the best Stranger Thing Tshirts. Crafted to perfection just like the professor plan. Trendtones premium quality Knitted cotton t-shirt cloths makes you feel more easier and comfort. Amazing Trendtones designer collections makes you look smarter and stylish. Wear with love and feel the comfort of Trendtones shirt. 100% Export Quality cotton rich clothing. All our casual tshirts are made up of 180 GSM qualities which last for long time. For more cool Half Sleeve & Full Sleeve T-shirts, check out the entire collection of Trendtones brand. 180 GSM with good quality printed fashion shirts. It’s a unisex tee, but preference for men’s clothes. Wash Care: Machine washes in cold water. Do not bleach. Do not wring or twist. Dry in shade. Warm low Iron. Don not tumble dry Machine dry not recommended.",Mens-wear
5,Men Kageyama Cotton T-shirt,Darkbuck,599,4.2,3,"Pure Cotton Bio-Wash is a Premium cotton that have finishing process that enhances fabric quality by decreasing the pilling tendency and fuzziness of (cellulose) knitted fabrics. This finishing process applied to cellulose textiles that produces permanent effects by the use of enzymes. This process removes protruding fibres & slubs from knitted fabrics, significantly reduces pilling, softens fabric hand and provides a smooth fabric appearance .Cotton shirts breathe better than clothing made with synthetic materials, and are less prone to retaining odors and losing shape. Even better — cotton t-shirts are low maintenance and don't have a ton of washing instructions. It's a soft, familiar fabric that everyone can believe in.",Mens-wear
6,Men's Loose T-shirt,Jack & Jones,629.,2.4,3,Jack & Jones Men 100% Cotton Boxy Fit Short Sleeve Graphic Orange T-Shirt,Mens-wear
7,Regular T-shirt,Tommy Hilfiger,"3,509",5.0,2,"TOMMY HILFIGER is one of the world’s leading designer lifestyle brands and is internationally recognized for celebrating the essence of classic American cool style, featuring preppy with a twist designs.",Mens-wear
8,Men's Slim Fit Tshirt,bluehaaat,579,4.1,9,"All our products are crafted passionately with Love and Care for our beloved customers. We provide a variety of products in the wide range from different brands to cater to the needs of present generation youth. When you need some new basic T-Shirt to allow your statement pieces to shine or some cool and trendy latest designs to flaunt your fashion and attitude you can always trust our products. We provide all types of tshirts i.e. half sleeve, full sleeve t-shirts, sleeveless tshirts aka tank top, v neck tshirts, Sweatshirts and hoodies, sportswear, jerseys, trousers. Our designs include Superheroes Hindi and English Funny quotes and dialogue, Music, Rock bands, TV Series, Movies, Sports, Football, Cricket, Indian designs, regional etc. Explore brands under our channel for more designs. If you have any query or suggestion kindly message us.",Mens-wear
9,"Hooded Neck, Zipper And Round Neck",Maniac,279,3.5,25,"Give your casual outfit an uber-cool update with this Fullsleeve hooded cotton T-shirt from Maniac, to head out for a soiree in style. Minimally fashionable and super rich in comfort, this 100% cotton T-shirt can be worn perfectly with beige chinos and a pair of sneakers.",Mens-wear
