,title,brand,price,rating,reviewCount,description,categories
0,Printed Straight Kurti,Pinkmint,199,3.0,40,,Women-lingerie-wear
1,Teen Girls Soft Comfortable Full Cup Mesh Cotton Bra | Bra for Girls,Qiwion,449,No reviews,,"Care Instructions: Hand Wash OnlyFit Type: regularUnique cup design & stylish mesh back with contrast elastic, Ideal for beginner girlsNo padding, no poky underwires, no hooks, and no itchy labels; this bra keeps you at ease all day. It has smooth adjustable straps which can be worn straight or cross-back, giving a multiway style and utility.Bio-washed: 4-way stretch fabric for extra flexibility and a soft feel on the skin. Anti-microbial and odor-prevention treatment to prevent microbial activity due to sweat, keeping you hygenic, fresh, and clean.Moisture-wicking technology helps disperse sweat from the skin to fabric quickly, keeping you feeling light and comfortable and also suitable for everyday wear, loungewear, and under all types of clothing attire providing a perfect shape, support, and comfortWash Care; Hand wash with cold water, do not wring, do not bleach, drip dry in shade, do not iron, do not dry clean.",Women-lingerie-wear
2,Girl's Seamless Padded Wire Free Sports Bra,Kiwee,349,3.6,14,,Women-lingerie-wear
3,"""Sophia Front Close Post-Op Compression Surgical Vest #3342",CAREFIX,"16,447",3.9,408,"Fit Type: CompressionAvailable from Small to 2XLFront opening zipper with underlying hook and eye fastenerBilateral pockets for light breast formsLatex free, super soft and breathableMaterial Content: Bra - 78% Cotton, 15% Polyamide, 7% Elastane",Women-lingerie-wear
4,Women's 91% REC.PES/9% EL-Interlock-hydrophilic Finish Classic Workout Bra,Reebok,599,No reviews,,Care Instructions: Machine WashColor: Batik BluePackage Contents: 1 Workout BraMaterial: 91% Rec.pes/9% El-interlock-hydrophilic Finish,Women-lingerie-wear
5,Women's Blended Briefs (Pack of3),BODYCARE,525,3.3,14,,Women-lingerie-wear
6,Women's Cotton Non-Padded Non-Wired Full Coverage Bra,SONA,853,4.1,268,,Women-lingerie-wear
7,"Cotton Plain Hipster Ladies Panties Brief Women Innerwear, Comfortable Soft Inner Elastic Underwear - Pack of 10",Elk,599,4.0,75,,Women-lingerie-wear
8,Women's Cotton Regular Full Coverage Bra,Penny by Zivame,489,3.8,18,,Women-lingerie-wear
9,Ublic Store Women Cotton Padded Wire Free Full Coverage Mutlicolor Bra,Generic,299,5.0,2,,Women-lingerie-wear
