,title,brand,price,rating,reviewCount,description,categories
0,Women On-The-Go Slit Flare Pants | AeroFlo Fabric | Stylish Slits | High Rise | Flare Pants for Women,BlissClub,"2,093",5.0,1,"On-The-Go Slit Flare Pants are crafted in our AeroFlo Fabric which is composed of 80% Polyester and 20% Spandex. AeroFlo is lightweight, durable and moisture-wicking. Our fabric is peached to give you that extra softness. Our pants offer you a snug fit till the thighs and flare from below. They are high-rise and have a wide and comfortable waistband along with stylish side slits that minimize restriction as you move. They have two side pockets secured with hidden zippers. Our slit flare pants are great for all your low-mid impact moves including salsa, body balancing and party hopping.",Women-western-wear
1,Dry Fit Shirts,berge',995,4.5,8,"Totally adorbs! This round-neck, short-sleeved, digital design jacquard t-shirt has the right mix of simplicity and smartness. It is made of Instadry, breathable, light and pure polyester making it perfect for a day out at the movies or lunch with friends. Pair this cute top with ankle-length bottoms and flat footwear to create a luxe casual look.",Women-western-wear
2,Dry Fit Cotton Shirts,berge',995,4.1,90,,Women-western-wear
3,Women's Side Flower Ankel length Pant,KVT SHOP,599,New to Amazon,,,Women-western-wear
4,Pure Cotton Polo T-shirt,Scott International,512,3.6,12,"Refresh your clothing with the collection of Polo T-shirts from 6 Degree. The fabric is 100% Pure Premium Cotton, Super Combed, Solid Polo gives utmost comfort during all temperatures. Elegant stitch and Solid colours maked this T-shirt a perfect Formal and Casual wear. Pair it with Jeans or Casual for a perfect Casual or Party look",Women-western-wear
5,GnCreation Women's Cotton Blend High Neck Long Sleeves Slim Fit Top,Generic,322,No reviews,,,Women-western-wear
6,Women's & Girls' Solid Ribbed Crop Tank Top (Combo Pack of 2),Cold Fusion,539,No reviews,,,Women-western-wear
7,Women's Designer White Cotton Lycra Pants with Lace Work,Generic,599,No reviews,,"""Upgrade your collection of basics with these cotton Lycra Trousers by Comfort Wear. Fabric: Cotton Lycra. Age Range Description: Adult; Style Name: Flat Front. Important : Please note that product color may slightly vary due to photographic lighting sources or your monitor settings """,Women-western-wear
8,Black Bootcut Jeans,Meghz,999,No reviews,,"Fit Type : Denim Bootcut Jeans Color : Basic Black Wash Material : Cotton Lycra With Medium Weight Fabric Wash: Black Wash Care Instructions : Machine Wash, Cold Wash, Wash Medium Colors Separately , Normal Cycle , Do Not Bleach , Tumble Dry Low , Warm Iron If Needed , Do Not Iron On Print & Embellishment , Wash Jeans Inside Out with Zipper Closed. Zip fly with button closure Classic “Meghz jeans” Due to the inherent nature of Indigo/Sulphur dyed fabrics, the surface color may bleed or rub off onto lighter surfaces. “Made In India” by Socially Compliant MSME Factory.",Women-western-wear
9,High Neck Winter Sweater with Cable Style for Women,Knotty Needles,920,5.0,2,,Women-western-wear
