,title,brand,price,rating,reviewCount,description,categories
0,"Polo T-Shirts for Men - Collar Neck, Half Sleeves, Cotton, Regular fit Stylish Branded Solid Plain Tshirt for Men- Ultra Soft, Comfortable, Lightweight Polo T-Shirt",Scott International,549,3.9,18,,Mens-wear
1,Men's Cotton Plain Round Neck Half Sleeve T-Shirt,Wafaa,215,Previous page,,Mens 100 % Cotton Plain Stylish Round Neck Half Sleeve T-Shirt. Perfect and Suitable for all Seasons. Unique Collection to your wardrobe. Plain t-shirt with a Pair of jeans can afford the wearer a very classic look. Pure Cotton Makes the Single Jersey Fabric Extra Soft. Trendy and latest Design with Classic Colors and Premium fabric makes the T-Shirt Fashionable and Comfortable. Comfortable for Gym and All Sports. More Attractive Colors are Available. Color May Slightly Vary Depending on your Screen Brightness. Verify the Size Chart For Size References.,Mens-wear
2,T-Shirt for Men Cotton Black Printed Men's Tshirt Half Sleeves T-Shirt Regular Fit Round Neck Casual Relaxed Graphic Designer Prints Bio-Wash 180 GSM Cotton,PockTown INTERNATIONAL,499,Previous page,,PockTown International brings to you a fashionable t-shirt designed with a comfortable fit perfect for daily wear. Made from soft and breathable cotton fabric ensuring your utmost comfort and a well-tailored design making it suitable for any occasion. Reinvent your style with this versatile half-sleeve t-shirt designed to make you feel free when you wear it perfect for everyday wear and especially as a summer t-shirt. It is also easy to maintain that you can just wash by hand or put it in the washing machine without any hassle.,Mens-wear
3,Forever Mike Tyson - Printed Cotton Round Neck T-Shirt | Graphic Printing (Color - Black) | Designer t Shirts Men.,STYLECAT,499,Previous page,,"{ABOUT THE BRAND} STYLECAT came into existence in 2019 with a motive to provide quality clothing for the current generation. Our products range includes, Regular T-Shirts, Oversized T-Shirts and Sweatwear Collection. Our uniqueness in Dope Graphic Designing and the passion of providing quality fabric to users helped us grow in the recent years. Our variety includes every kind of regular wear as well as occasion wear such as Birthdays, Gifting, Anniversary, Diwali, Christmas, New Year and like. These are used for personal wear and as well as gifting purposes. Our designs boost people up with confidence & make people look at you like ‘Aye, what a dope person.‘ {ABOUT THE PRODUCT} Refresh your clothing with this awesome and stylish colour T-Shirts for men from Forever Store and pair it with jeans for the perfect casual wear. Feel at ease with this comfortable T-shirt for men from Forever Store. fine knitting to provide fit to your body contours, the comfort it provides has no match. {OUR UNIQUENESS}  >> Quality Cotton T-Shirts >> Dope Graphic Design Print >> Odour Free Material  >> Print On Demand",Mens-wear
4,ARGENTENA 22/23 Home Jersey Messi 10 2022-23,Generic,360,5,2,"Fit Type: Regular Fit Very comforting 100 % polyester Wash:- Gentle Hand Wash, Do Not Bleach, Dry in Shade",Mens-wear
5,Mens Cotton Tshirt(AZ_1744_Blue_),Tfortees,229,Previous page,,,Mens-wear
6,Mens Sleeveless T-Shirt-Grey-blackjeb,Generic,399,Previous page,,,Mens-wear
7,Women Tshirt(PA22951L_PK),Proline,244,Previous page,,,Mens-wear
8,Men T-Shirt,Tommy Hilfiger,"2,529",5,1,LIC CLINTON SS POLO CF,Mens-wear
9,Men T-Shirt,Tommy Hilfiger,"2,549",Previous page,,M BOLD STRIPE REGULAR POLO,Mens-wear
