,title,brand,price,rating,reviewCount,description,categories
19,Men Full Sleeves Cotton t Shirt,clafoutis,399,3.5,80,"Clafoutis offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy-to-reach and excellent service support which makes shopping easy to enjoy. Lime Fashion t shirts are made of premium 100 % cotton bio-washed fabrics to ensure best quality and great comfort. Assorted prints are used to ensure that the printed tshirts look new even after several washes. Lime Fashion keeps inventing to help you keep inventing exciting new experiences in your life.",Mens-wear
20,Men Blue Tshirts,Pepe Jeans,569,4.3,11,"T-shirts: consists of fine fabrics with a casual twist, jerseys with a youthful touch.",Mens-wear
21,Men's Printed Regular Tee (58837101_Black 128 UK),Puma,389,Previous page,,"Designed for comfortable wear for sports and street-style, PUMA apparels are always fun to wear. Upgrade in style with wide range of apparels form the world’s leading and much-loved sports brand, PUMA.",Mens-wear
22,Mens Striped Polo T-Shirt,Parx,449,2.7,4,"Get the perfect finish to your laid-back looks with this polo t-shirt from Parx. Made from good quality fabric, it is light in weight. Crafted with unique design this short sleeves t-shirt comes with a striped pattern and perfect fit that makes it all the more appealing.Wear this polo t-shirt on any casual occasion to create a lasting impression. You can team it with a pair of jeans and slip on shoes to complete your look.",Mens-wear
23,Men Polo Shirt,Levi's,960,1.0,1,"Stylish and versatile, the Levi's Polo Tee is an absolute wardrobe essential for any guy. Made using high-quality material, this regular fit polo t-shirt features a polo collar and short sleeves. Style this polo t-shirt with denim shorts to look cool.",Mens-wear
24,Men's Classic Fit T-Shirt,U.S. POLO ASSN.,679,4.3,8,"U.S. Polo Assn. Brand products are authentic and officially sanctioned by the United States polo association, the governing body for the sport of polo in the United States since 1890. The U.S. Polo Assn. Brand carries clothing for men, women and children, as well as accessories, luggage, watches, shoes, home furnishings and more. Half sleeve collar tee, m",Mens-wear
25,Men Full Sleeve Polo Neck Cotton Blend Shoulder Striped T-Shirt,Kalt,549,4.5,4,Kalt Men Full Sleeve Polo Neck Cotton Blend Shoulder Striped T-Shirt,Mens-wear
26,Color Block Full Sleeve Round Neck Men Tshirt,Kushi Flyer,359,Previous page,,Full Sleeve Round Neck Color Block Regular Length Casual type cloth material hosiery soft fabric trendy men tshirt,Mens-wear
27,Men's Organic Cotton Polo T-Shirt,Scott International,549,3.9,60,"Refresh your wardrobe with the new range of Summer Collections of Organic Cotton Polo T-shirts from Scott International. This Polo T-shirts are made of is 100% Pure Premium Organic Cotton fabric, Super Combed, Solid Polo and gives utmost comfort during all temperatures. Durable stitch and finish make this T-shirt a perfect Formal and Casual wear. Contrast Tipping on the Collar and Sleeves makes this Product have a unique look as compared to other products in the Polo segment. Pair it with Jeans or Casual for a perfect Casual or Party look",Mens-wear
28,"NEXT PRINT Men's Hockey Sports Jersey with Team Name, Name and Number | Men's Hockey T-Shirt with Printed Name | Hockey Shirt with Your Name Printed 1423261820",Generic,389,2.0,1,"Explanation This amazing printed t-shirt has a great finish and uses her POLYESTER fabric, which is soft and comfortable, so it goes great with your regular clothes. Update your look with this amazing collection of sports tees from Next Print. Made from 100% polyester patterns, these t-shirts are great for sporting events or everyday wear. The texture of the fabric promises a comfortable fit even in humid weather. 100% polyester This jersey from Next Print is made from micro-polyester. This will keep you comfortable and itchy even in the summer. It feels smooth on the skin and can be worn for a long time. Soft and breathable. SLEEK, MODERN FIT Activewear carefully sewn in our own factory. The fit is very modern with very durable stitching. The pattern is he cut by a laser machine with 1/10th of a millimetre accuracy to provide a perfect fit and ensure that every jersey tee is the same. Appearance and use This Active Wear Jersery T-shirt has a straight hem. A T-shirt that can be used for both casual and sports. You can use it as office wear because of its appearance design. Casual, trendy, rich colour combinations Next Print Activewear jersey t-shirts feature trendy colour and designs. It is a trendy colour. The fabric is very light and keeps you cool inside compared to the temperature outside. . material : The durable, wrinkle-resistant dry-fit 180g/m² fabric retains its shape even after washing. Fit type: regular fit SIZE AND FIT - Our unisex tees are available in XS, S, M, L, XL, XXL, and XXXL, perfect for men and women. sew: Double-stitched sleeves and hem. printing: We use high quality inks. Prints are durable and colourfast. 100% Satisfaction Guarantee",Mens-wear
29,Men T-Shirt,Levi's,"1,386",Previous page,,"Timeless and classy, this regular fit polo tee is sure to give your closet an instant makeover. With a colorblock pattern, this T-shirt amps up your everyday look. Crafted from cotton, this T-shirt features short sleeves for a dapper look.",Mens-wear
30,Men's Slim Fit T-Shirt,U.S. POLO ASSN.,549,Previous page,,"HALF SLEEVE ROUND NECK TSHIRT, 4XL",Mens-wear
