,title,brand,price,rating,reviewCount,description,categories
0,Relaxed Short Sleeve Top,Nike,629,2.6,30,"Nike Dri-FIT technology is an innovative polyester fabric designed to help keep you dry so you can more comfortably work harder, longer.",Mens-wear
1,Paris Saint-Germain: Classic Joggers (Navy),Shop The Arena,"1,099",No reviews,,Get your official Paris Saint-Germain F.C. merchandise and sport the colours of one of the most dominant clubs in Europe. Ici C'est Paris!,Mens-wear
2,Anime T Shirt for Men and Women Regular Demon Slayer Zenitsu Agatsuma Kimetsu No Yaiba Tshirts Unisex Pure Cotton Casual Wear Round Neck T-Shirt,Darkbuck,599,5.0,1,"Pure Cotton Bio-Wash is a Premium cotton that have finishing process that enhances fabric quality by decreasing the pilling tendency and fuzziness of (cellulose) knitted fabrics. This finishing process applied to cellulose textiles that produces permanent effects by the use of enzymes. This process removes protruding fibres & slubs from knitted fabrics, significantly reduces pilling, softens fabric hand and provides a smooth fabric appearance .Cotton shirts breathe better than clothing made with synthetic materials, and are less prone to retaining odors and losing shape. Even better — cotton t-shirts are low maintenance and don't have a ton of washing instructions. It's a soft, familiar fabric that everyone can believe in.",Mens-wear
3,Couple’s Printed T-Shirt I Cotton Round Neck Full Sleeve Tshirts I Slim Fit Tees I Trendy & Stylish Look I Pre Wedding T-Shirts I for Husband Wife - Pack of 1,Lappen Fashion,639,5.0,1,,Mens-wear
4,Regular T-shirt,Levi's,615,3.8,33,Our t-shirts and denim were made for each other. Our collection of graphic tees; vintage-inspired and modern styles to wear with your favourite denim are made with soft jersey for extra comfort.,Mens-wear
5,Slim Fit T-shirt,WC Right,300,3.4,74,"Shop from a wide range of T-Shirt from WC RIGHT. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Mens-wear
6,One Punch Man Round Neck Anime T-Shirt,crazymonk,599,Previous page,,"Material/ Fabric: 100% Cotton, Bio-Wash Size & Fit: This brand runs true to size. To ensure the best fit, we suggest consulting the size chart. Wash: Don’t use Soap or Detergent directly on print.",Mens-wear
7,Wednesday Addams T-Shirt | Unisex Cotton T-Shirt | Round Neck Organic tee d2,The Insane Shell,649,1.0,1,"ORGANIC 100% COTTON Now saving the environment by staying in your complete comfort zone is a real thing. Made with a hundred percent cotton, our Tees ensure long lasting softness, premium skin friendly fabric and a chic look that'll never fade off. You can now be vegan with clothes and give your bit in saving the environment by this easy peasy purchase!! RETURNS ON SHRINKAGE To prove the honesty of our promises, we provide complete returns on complain of shrinkage. You gotta believe us now, pretty please. BIO -SILICON WASHED To give our tshirt the final & undoubtedly best and supreme soft finish. DOUBLE STICKED So that humara aur apka sath kafi lamba aur durable ho! DOUBLE STICKED Our tee sizes are very specific so as to enclose you in a perfect hug. You wouldn't find a better fitting Tee at this price, hurry. PS: If you like your Tees to be a little loose, please size up (It'll still hug you, a little loose hug, you see)",Mens-wear
8,CSK Store Kaafi Lazy Panda Design Printed Round Neck for Men,Generic,249,Previous page,,"This men's short sleeve T-shirt pairs practical performance features with style and comfort. Now stay dry and comfortable during Casual or any party Daily Wear with this 100% Cotton fabric with soft handfeel. The overall grindle look adds an element of style using vibrant colors and makes it suitable for Party , Daily Wear and Casual application. The Reflective Logo print offers visibility during early morning or late night runs. Machine wash warm, Do not Bleach, Cool iron tumble dry Low",Mens-wear
9,Classic White T-shirt,The Korhean Store,483.,4.0,12,"Actual product may slightly differ from digital images. Material: 100% Cotton (180 gsm Bio-Washed & Pre-Shrunk for Minimum shrinkage) Wash Care: Cold wash. Machine wash, use mild detergent, dry in shade, do not iron directly or scrub on print, do not bleach, and do not tumble dry. Size: Sizes may vary by +/- 0.5 inches and it totally considered normal.",Mens-wear
10,Striped Regular Fit Shirt,United Colors of Benetton,719,3.4,15,Grindle pencil striped polo. A slim fit stripe casual flat-knit t-shirt with short sleeve and polo neck.,Mens-wear
11,Regular Fit Patch Pocket Shirt,Nimble,465,5.0,1,,Mens-wear
12,One Punch Man Black Anime,Filmy Vastra,449,4.4,4,"Filmy Vastra 100% Cotton Anime Comic Like Naruto,DragonBall Z(DBZ),Fullmetal Alchemist,Fairy Tail,Death Note,Attack on Titan(AOT),Tin Tin,Vinland Saga,Destone,Haikyui,Death Note T-Shirts .Light weight. Relaxed, Comfortable Classic fit. Perfect construction for Spring & Summer. It is sure to be a hit, whether you're buying it as a gift for somebody special or wearing it yourself. FV brings you the best quality tshirts, tops & other clothes! We offer designs for every occasion and situation, from Diwali, Christmas, Valentine's day to Mother’s Day & Father’s Day. It will perfectly fit the bill. You can confidently wear it, anytime & everywhere.",Mens-wear
13,Men's Slim Fit T-Shirt,Peter England,306.,5.0,1,Peter England Light Grey Solid T-Shirts Crew Neck,Mens-wear
14,Regular Fit Muscle Te,Jockey,599,4.7,11,"Created with the just the right blend of functionality, style, and comfort, the Athleisure Collection is the perfect fit for workouts, travel, or just a relaxing night in. This range is designed for the man who’s always on the go",Mens-wear
15,Pack Of 2 T-shirt,OKANE,396,Previous page,,,Mens-wear
