,title,brand,price,rating,reviewCount,description,categories
0,Men's Premium Cotton Multicolor Polo T-Shirt,ADRO,499,Previous page,,"Are you looking for stylish t-shirts for men? Look no further! Adro t-shirts provide superior comfort and quality, with a variety of colors and styles to choose from. Plus, they’re affordable, so you don’t have to break the bank just to look your best. Every purchase you make supports our mission of providing high-quality clothing at an accessible price. So why not take a chance with us? Check out our selection today and see the difference for yourself! Adro - Keep Inventing.",Mens-wear
1,Plus Size Polo Shirt,Urbano Plus,749,3.8,512,"Make heads turn in this unique & stylish Urbano Plus men's 100% Cotton Black Plus Size Polo T-Shirt with two buttoned front placket, which brings the latest trend for the fashion conscious. The in-vogue & fashionable buttoned placket design & contrast striped polo collar, soft & premium 100% pure cotton fabric with bio-wash, regular fit & regular hem make it a wardrobe must-have. Pair this uber-cool and comfortable half sleeve polo t-shirt with any Urbano Plus jeans or chinos for the perfect casual, office, or party wear look, and never go out of style! Urbano Plus - your go-to stylish and comfortable Plus size brand from Urbano Fashion.",Mens-wear
2,Regular Fit T-shirt,ADRO,424,3.7,30,"This Summer Indian homegrown brand ADRO brings you the best quality 100% cotton Half Sleeve T-Shirts to keep you Stylish. Made in India Product for the Indian market at the Best Prices. Pair it with Jeans/Joggers or Shorts and this T-Shirt made of soft fabric will make other guys go green with envy. We at ADRO offers Top Quality casual wear in the widest variety which makes it easy to choose and at the prices that are easy to reach. ADRO products are made of Premium Fabrics which are Eco-Friendly to ensure the Best Quality and Great Comfort. ADRO deals in Men's Sweatshirts, Men's Printed T-Shirts, Full Sleeve T-Shirts, Polo T-Shirts, Hoodies for men. We also in plan to add Men's Shirts, Jeans and Chinos/Shorts to keep you updated with trends. ADRO - Keep Inventing",Mens-wear
3,Polo Shirt,AMERICAN CREW,699,3.9,"1,291","Add a pop of color and style to your off-the-clock wardrobe with this lively striped polo from american crew cotton rich blend with polyester for superior comfort and vibrant colors.  Men's regular-fit polo with solid collar/cuff; button placket  short sleeves, left chest logo embroidery  allover stripes  soft medium weight bio-washed single jersey fabric  made in india",Mens-wear
4,Men's Regular Fit Polo,Allen Solly,590,4.1,"59,834",Allen Solly Men's Plain Regular Fit Polo,Mens-wear
5,Pack Of 3 T-shirt,Scott International,523,3.7,"36,636",,Mens-wear
6,Regular Polo Shirt,Amazon Brand - Symbol,339,3.9,"21,251","An Amazon brand, Symbol is built on the pillars of quality, reliability and affordability to offer you lifestyle essentials that never go out of fashion. Never out of style, this Symbol classic polo features contrast inner placket as an accent detail. Styled from breathable pique cotton, this polo is cut in an easy regular fit with ribbed collar & sleeves to provide a better grip and high-low hem for extra comfort. Wear it alone or under a jacket to make this collar polo look great.",Mens-wear
7,Men's Regular T-shirt,Amazon Brand - Symbol,299,3.9,"2,861","Our wide range of t-shirts are designed to make you stand apart, no matter what the occasion. With a wide of colour and fabric options, these t-shirts offer great quality at an undeniable price.",Mens-wear
8,Men's Regular Fit Polo,Van Heusen,569,4.0,"28,596",,Mens-wear
9,T-Shirt for Men||T Shirt||White T-Shirt for Men||T-Shirt for Boys||Regular Fit T-Shirt for Mens||T Shirt for Men||t Shirts for Men Casual||Printed Casual T-Shirt (Mens-T-shirt-5056),TOPLOT,299,4.7,19,"DISCLAIMER: The images shown are for representational purposes only. Please note that the colour of the product may slightly vary in comparison to the picture shown on the website due to various reasons which may include different lighting and devices during photo-shoot and also the colour settings and resolution of your own monitor screen. It is also important to note that we thrive to bring you the best, but, there may be a little difference in terms of fabric and colour, Wash Care: The Dry clean is recommended.Get ready with your casual look when you put on this outfit",Mens-wear
10,Cotton Blend Half Sleeve Oversized T-Shirts for Women's,LEOTUDE,294,3.6,136,This Women's Oversized T-Shirt from Leotude is completely cool and comfortable and its best for daily use or for college.,Mens-wear
11,Solid Men Half Sleeve Pure Cotton Round Neck T-Shirt,London Hills,199,3.8,912,,Mens-wear
12,Men's Oversized Cottonblend Half Sleeve T-Shirts (Color: Brown),LEOTUDE,299,2.4,7,This Men's Oversize T-Shirt from Leotude is completely cool and comfortable and its best for daily use or for college.,Mens-wear
13,Solid Men's Round Neck Half Sleeve Sports T-Shirt,London Hills,179,3.7,588,,Mens-wear
14,Slim Fit Cotton T-shirt,Urbano Fashion,399,3.7,"4,852","Look your stylish best in this trendy new design of men's aqua blue printed full sleeve round neck t-shirt from the latest collection of Urbano Fashion. The youthful & fashionable all-over printed design, high-quality & soft 100% cotton fabric, custom fit make it a must have for your wardrobe. Pair this in-vogue all-over printed full sleeves t-shirt with any light shade of Urbano Fashion jeans or shorts for a fabulous casual look, and never go out of style! So go ahead, stand apart from the crowd and create your own trends. And follow no one else but yourself.",Mens-wear
15,Men's Regular Fit T-shirt,Amazon Brand - Symbol,649.,4.1,"14,380","Our wide range of t-shirts are designed to make you stand apart, no matter what the occasion. With a wide of colour and fabric options, these t-shirts offer great quality at an undeniable price.",Mens-wear
16,Regular-fit Pack Of 3,Chromozome,399,3.9,"15,435",Chromozome Men's Plain Reqular fit T-shirt ( Pack of 3 ),Mens-wear
17,Regular Polo Shirt,Reebok,449,4.0,18,"Polo neck style with reebok wording print at left side, short sleeve. Button closure with regular fit",Mens-wear
18,Men T-Shirt,Van Heusen,599,4.2,"1,185",,Mens-wear
19,Regular-fit T-shirt,Jockey,549,4.3,"20,171",Super combed Cotton Rich fabric. Ribbed round neck to prevent sagging. Regular fit. Label free for all day comfort.,Mens-wear
20,"Polo T-Shirt Plus Sizes 100% Cotton with Graphic Printed, Regular Fit | Halfsleeve Collar Neck | Pocket Panda | Sizes L - 5XL | Unisex",Toodlegram,"1,099",Previous page,,,Mens-wear
21,Polo Shirt With Collar,fanideaz,664,3.7,413,,Mens-wear
22,"Polo T-Shirt Plus Sizes 100% Cotton with Graphic Printed, Regular Fit | Halfsleeve Collar Neck |Pocket Fishing Sloth, Sizes L - 5XL | Unisex",Toodlegram,"1,099",Previous page,,,Mens-wear
23,"Polo T-Shirt Plus Sizes 100% Cotton with Graphic Printed, Regular Fit | Halfsleeve Collar Neck | Pug in Pocket | Sizes L - 5XL | Unisex",Toodlegram,"1,099",Previous page,,,Mens-wear
24,Regular Polo Shirt,Reebok,449,3.4,60,"Polo neck style with reebok wording print at left side, short sleeve. Button closure with regular fit",Mens-wear
25,Men's 025 Round Neck Cotton T-Shirt with Smartskin Technology,Levi's,439,4.1,"2,755","Levi’s 025 round-neck T-shirt for men from the 300LS series makes for an ideal, soft, everyday-wear option. This men's T-shirt is designed to give you an effortlessly casual or sporty look for the ultimate fashion statement. The soft fabric keeps you at ease and allows you to go about your day comfortably. The traditional crew neckline and short sleeves make this T-shirt a minimalistic classic. This men's tee comes in a wide range of versatile solid colors. Levi's 300LS series brings you premium garments that make for a superior ready-to-wear option. This fine collection of menswear is made from high-quality materials that offer a soft touch, unrivalled comfort, and a flattering fit. The 300LS series is a foolproof option for a look that is magazine-ready.",Mens-wear
26,Men's Striped Regular fit T-Shirt (T285HS_White Darknavy Indigo Royal S) EYEBOGLERMenRegularT-Shirt,EYEBOGLER,329,3.8,"13,959",,Mens-wear
27,Oversized Cotton Shirt,Veirdo,339,3.7,"1,020","Veirdo is one of the leading Indian online garment brand that offers exclusive range of fashions for Men and Boys. Official merchandiser of Disney and Marvel. We provide an ultimate T-shirt fashion meticulously crafted with Cotton fabric and blend. We manufacture T-shirts & Tops, Jackets, Sweatshirt, Co-Ords, Trackpants & Shorts with premium quality fabric for our customers which gives a perfect comfort and style. Our motto is to provide trending and fashionable products made of best materials from the market.",Mens-wear
28,Men's Regular Fit T-Shirt,Amazon Brand - Symbol,499,4.0,"16,108","An Amazon brand, Symbol is built on the pillars of quality, reliability and affordability, offering a range of lifestyle essentials that help you look good every day. Choose the classic t shirt pack offered in a range of colors with subtle details, made out of quality fabrics for comfort and longivity. Symbol Tees are perfect for day to day use at work as well as leisure. Ideal for casual as well as semi formal occasion, just pair it up with jeans and a pair of sneakers.",Mens-wear
29,Regular Fit Half Sleeve Round Neck Men's T-Shirt,LEOTUDE,299,4.7,4,A Style For Every Story introduing Regular T-shirt for men with color full latest on trend of fashion for all generations in extreme fashionable wardrobe collection.,Mens-wear
30,Men's Cotton Striped Shirt,RodZen,349,3.6,"2,608",,Mens-wear
31,Men's T-shirts,Reebok,359,4.4,4,"This tech tee features high performance 100 Percent recycle material, Modern design Tee with a pocket in front, Featuring SPEEDWICK moisture wicking technology to keep you dry and comfortable, Slim fit.",Mens-wear
32,Men's Regular Polo Shirt,Adidas,629,3.9,733,"Adidas sells a range of clothing items, varying from men's and women's t-shirts, jackets, hoodies, pants and leggings. The adidas brand offers apparel for every sport, every fashion, every style, whether you are an athlete or fashionista. Cotton material with short sleeves and polo neck style",Mens-wear
33,Pyjama Top,U.S. POLO ASSN.,499,3.9,"5,960",V neck Tshirt with logo embroidery ; Rib trim for neck finishing,Mens-wear
34,Cristiano Ronaldo 7 Football Home Jersey 2023/24 with Black Shorts (Men & Boys),Generic,415,4.0,1,"Lightweight and soft, the polyester T-shirt will wick moisture away from your skin as you start to perspire. Furthermore, it boasts quick-drying properties to keep you cool and comfortable throughout the entire day.",Mens-wear
35,Men's Cotton Blend Oversized Printed Round Neck T-Shirt(Color: Red),LEOTUDE,294,3.6,595,A Style For Every Story introduing Oversized T-shirt for men with color full latest on trend of fashion for all generations in extreme fashionable wardrobe collection.,Mens-wear
36,Men's Oversized Cottonblend Back Printed Round Neck T-Shirt(Color: Black),LEOTUDE,299,3.9,9,A Style For Every Story introduing Oversized T-shirt for men with color full latest on trend of fashion for all generations in extreme fashionable wardrobe collection.,Mens-wear
